Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
65;Métro;CONVENTION;5792331;12;;;;;Paris;15
185;Métro;MAIRIE DE MONTROUGE**;2916681;4;;;;;Montrouge;
43;RER;LE PARC DE SAINT-MAUR;2090558;A;;;;;Saint-Maur des Fossés;
237;Métro;EDGAR QUINET;2241317;6;;;;;Paris;14
283;Métro;PICPUS;1405460;6;;;;;Paris;12
37;RER;NOISIEL;2599945;A;;;;;Noisiel;
49;RER;LA VARENNE-CHENNEVIERES;1863145;A;;;;;saint-Maur des Fossés;
163;Métro;CORENTIN CARIOU;3178424;7;;;;;Paris;19
126;Métro;FORT D'AUBERVILLIERS;3927340;7;;;;;Aubervilliers;
56;RER;PALAISEAU-VILLEBON;837916;B;;;;;Palaiseau;
10;RER;NOISY-LE-GRAND-MONT D'EST;6788250;A;;;;;Noisy-le-Grand;
55;RER;SAINT-REMY-LES-CHEVREUSE;884240;B;;;;;St-Rémy-Lès-Chevreuse;
263;Métro;SAINT-SEBASTIEN-FROISSART;1783783;8;;;;;Paris;3
287;Métro;KLEBER;1260051;6;;;;;Paris;16
133;Métro;MALAKOFF-PLATEAU DE VANVES;3852053;13;;;;;Malakoff;0
229;Métro;LES AGNETTES;2368284;13;;;;;Asnières sur Seine;
28;RER;NANTERRE-VILLE;3424216;A;;;;;Nanterre;
79;Métro;PYRAMIDES;5172054;7;14;;;;Paris;1
170;Métro;CAMBRONNE;3097164;6;;;;;Paris;15
256;Métro;PHILIPPE AUGUSTE;1876528;2;;;;;Paris;11
16;RER;LUXEMBOURG;5495050;B;;;;;Paris;5
193;Métro;CARREFOUR PLEYEL;2829368;13;;;;;Saint Denis;
201;Métro;NATIONALE;2710907;6;;;;;Paris;13
205;Métro;COURCELLES;2650620;2;;;;;Paris;17
149;Métro;SENTIER;3568784;3;;;;;Paris;3
261;Métro;RASPAIL;1836323;4;6;;;;Paris;14
49;Métro;LA CHAPELLE;6503089;2;;;;;Paris;9
161;Métro;BOURSE;3288142;3;;;;;Paris;2
31;Métro;HAVRE-CAUMARTIN;7899688;3;9;;;;Paris;9
32;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;7600254;7;9;;;;Paris;9
30;Métro;BIR-HAKEIM;8157090;6;;;;;Paris;15
20;Métro;PALAIS-ROYAL;9385220;1;7;;;;Paris;1
41;Métro;MAIRIE DE CLICHY;6987958;13;;;;;Clichy;
118;Métro;ALMA-MARCEAU;4060044;9;;;;;Paris;8
114;Métro;LA MUETTE;4206204;9;;;;;Paris;16
122;Métro;PORTE DE CLICHY;4021254;13;;;;;Paris;17
63;Métro;COUR SAINT-EMILION;5857110;14;;;;;Paris;12
218;Métro;RIQUET;2537863;7;;;;;Paris;19
83;Métro;PONT DE LEVALLOIS-BECON;5100344;3;;;;;Levallois-Perret;
56;Métro;PORTE DE VERSAILLES;6238822;12;;;;;Paris;15
22;RER;NOISY-CHAMPS;4168244;A;;;;;Champs-sur-Marne;
34;RER;LA CROIX DE BERNY;2937840;B;;;;;Antony;
58;RER;LOZERE;742156;B;;;;;Palaiseau;
19;Métro;NATION;9541406;1;2;6;9;;Paris;12
292;Métro;VANEAU;964320;10;;;;;Paris;7
124;Métro;LES COURTILLES;3944225;13;;;;;Asnières sur Seine;
4;Métro;MONTPARNASSE-BIENVENUE;31919734;4;6;12;13;;Paris;14
138;Métro;PORTE DE SAINT-OUEN;3762943;13;;;;;Paris;17
162;Métro;SAINT-PLACIDE;3287084;4;;;;;Paris;6
134;Métro;BOULOGNE-JEAN JAURES;3847782;10;;;;;Boulogne Billancourt;
202;Métro;PORTE DOREE;2702079;8;;;;;Paris;12
240;Métro;LA TOUR-MAUBOURG;2152005;8;;;;;Paris;7
249;Métro;BREGUET-SABIN;2038531;5;;;;;Paris;11
